source;source_material_id;material_id
BGS;Production of uranium;Me.U
BGS;Production of vanadium, mine;Me.V
BGS;Production of vermiculite;M.ver
BGS;Production of wollastonite;M.wol
BGS;Production of zinc, mine;Me.Zn
BGS;Production of zirconium minerals;O.Zr
BGS;Pyrites                                           ;O.FeS
BGS;Recovered                                         ;Nm.S
BGS;Rock salt;M.sal
BGS;Rock salt & brine salt;M.sal
BGS;Salt in brine;M.sal
BGS;Sand and gravel;M.sag
BGS;Sea salt;M.sal
BGS;Sepiolite;M.ben
BGS;Sulphur ore                                       ;O.S
BGS;Tantalite;Con.Ta
BGS;Djalmaite;Con.Ta
BGS;Microlite;Con.Ta
BGS;Columbite;Con.Nb
BGS;Nb content;Me.Nb
BGS;Ta content;Me.Ta
BGS;Pyrochlore;Con.Nb
BGS;Struverite;Con.Ta
BGS;Columbite-tantalite;Con.NbTa
BGS;Ilmenite;O.FeTiO3
BGS;Titanium slag;Oth.tis
BGS;Rutile;O.TiO2
BGS;Leucoxene;O.leu
BGS;Platinum;Me.Pt
BGS;Palladium;Me.Pd
BGS;Iridium;Me.Ir
BGS;Osmium;Me.Os
BGS;Rhodium;Me.Rh
BGS;Osmiridium;Me.pgm
BGS;Other platinum metals;Me.pgm
USGS;ANTIMONY;Me.Sb
USGS;ARSENIC TRIOXIDE;Me.As2O3
USGS;ASBESTOS;M.asb
USGS;BARITE;M.bar
USGS;BAUXITE;O.Al
USGS;BENTONITE;M.ben
USGS;BERYL;O.Be
USGS;BISMUTH;Me.Bi
USGS;BORON MINERALS;M.bor
USGS;BROMINE;M.bro
USGS;CADMIUM;Me.Cd
USGS;CELESTITE;O.Sr
USGS;CHROMITE;Me.Cr
USGS;COBALT;Me.Co
USGS;COPPER Concentrates;Con.Cu
USGS;COPPER Leaching, electrowon;Me.Cu
USGS;CRUDE IODINE;M.iod
USGS;DIATOMITE;M.dia
USGS;FELDSPAR;M.fel
USGS;FLUORSPAR;M.flu
USGS;FULLER'S EARTH;M.fue
USGS;Gemstones;Nm.dig
USGS;GOLD;Me.Au
USGS;GYPSUM;M.gya
USGS;INDIUM;Me.In
USGS;Industrial diamonds;O.dii
USGS;INDUSTRIAL SAND AND GRAVEL (SILICA);M.SiO2
USGS;IRON ORE;O.Fe
USGS;KAOLIN;M.kao
USGS;KYANITE AND RELATED MINERALS;M.fic
USGS;LEAD;Me.Pb
USGS;LITHIUM MINERALS AND BRINE;Me.Li
USGS;MAGNESITE;O.MgCO3
USGS;MAGNESIUM;Me.Mg
USGS;MANGANESE ORE;O.Mn
USGS;MARKETABLE POTASH;Me.K2O
USGS;MERCURY;Me.Hg
USGS;MICA;M.mic
USGS;MOLYBDENUM;Me.Mo
USGS;MONAZITE CONCENTRATE;Con.rem
USGS;NATURAL GRAPHITE;M.gra
USGS;NATURAL IRON OXIDE PIGMENTS;M.irp
USGS;NICKEL;Me.Ni
USGS;PEAT;M.pea
USGS;PERLITE;M.per
USGS;PHOSPHATE ROCK;O.P
USGS;PUMICE AND RELATED MATERIALS;M.abr
USGS;RARE EARTHS;Me.reo
USGS;RHENIUM;Me.Re
USGS;SALT;M.sal
USGS;SELENIUM;Me.Se
USGS;SILVER;Me.Ag
USGS;SULFUR;Nm.S
USGS;TALC AND PYROPHYLLITE;M.tal
USGS;TELLURIUM;Me.Te
USGS;TIN;Me.Sn
USGS;TUNGSTEN;Con.W
USGS;VANADIUM;Me.V
USGS;VERMICULITE;M.ver
USGS;ZINC;Me.Zn
USGS;ZIRCONIUM;Con.Zr
USGS;IRON ORE GROSS WEIGHT (CRUDE ORE);O.Fe
USGS;MINED GYPSUM;M.gya
USGS;Natural Diamonds Gemstone;Nm.dig
USGS;Natural Diamonds Industrial;Nm.dii
USGS;PLATINUM-GROUP METALS;Me.pgm
USGS;TITANIUM;Me.Ti
USGS;ZIRCONIUM MINERAL CONCENTRATES;Con.Zr
USGS;CEMENT;cement
Former_db;96;M.gya
Former_db;20;Me.Au
Former_db;78;M.flu
Former_db;58;M.SiO2
Former_db;63;M.dol
Former_db;65;M.lim
Former_db;72;M.bar
Former_db;74;Nm.dig
Former_db;75;Nm.dii
Former_db;49;M.bac
Former_db;51;M.fic
Former_db;64;M.ign
Former_db;68;M.crs
Former_db;69;M.pea
Former_db;70;M.abr
Former_db;80;M.irp
Former_db;105;M.coc
Former_db;108;M.sag
Former_db;351;M.mas
Former_db;352;M.lat
Former_db;87;M.qar
Former_db;353;M.ill
Former_db;40;Me.U
Former_db;50;M.ben
Former_db;89;Nm.S
Former_db;90;Nm.S
Former_db;348;M.sal
Former_db;29;Me.Nb
Former_db;10;O.Al
Former_db;53;M.kao
Former_db;76;M.dia
Former_db;77;M.fel
Former_db;92;M.tal
Former_db;55;M.spc
Former_db;61;M.cha
Former_db;22;Me.Pb
Former_db;66;M.sas
Former_db;21;Me.In
Former_db;67;M.sla
Former_db;60;M.cal
Former_db;34;Me.Ag
Former_db;7;O.Fe
Former_db;13;Me.Cd
Former_db;38;Me.Ti
Former_db;104;M.asp
Former_db;41;Me.V
Former_db;343;M.soc
Former_db;31;Me.reo
Former_db;28;Me.Ni
Former_db;86;O.K2O
Former_db;26;Me.Hg
Former_db;82;M.mic
Former_db;54;M.poc
Former_db;81;O.MgCO3
Former_db;337;M.bro
Former_db;24;Me.Mg
Former_db;100;M.mat
Former_db;15;Me.Cr
Former_db;16;Me.Co
Former_db;97;M.per
UNSD_Code;LN;F.lig
UNSD_Code;SB;F.sbc
UNSD_Code;AT;F.ant
UNSD_Code;CC;F.coc
UNSD_Code;OB;F.obc
UNSD_Code;PT;F.pea
UNSD_Code;OS;F.ois
UNSD_Code;OH;F.oth
UNSD_Code;CR;F.cro
UNSD_Code;NG;F.nag
UNSD_Code;GL;F.ngl
IEA;Anthracite (kt);F.ant
IEA;Brown coal (if no detail) (kt);
IEA;Coking coal (kt);F.coc
IEA;Crude oil (kt);F.cro
IEA;Crude/NGL/feedstocks (if no detail) (kt);
IEA;Hard coal (if no detail) (kt);
IEA;Lignite (kt);F.lig
IEA;Natural gas (TJ-gross);F.nag
IEA;Natural gas liquids (kt);F.ngl
IEA;Oil shale and oil sands (kt);F.ois
IEA;Other bituminous coal (kt);F.obc
IEA;Other hydrocarbons (kt);F.oth
IEA;Peat (kt);F.pea
IEA;Sub-bituminous coal (kt);F.sbc
Former_db;326;F.lig
Former_db;330;F.sbc
Former_db;327;F.ant
Former_db;328;F.coc
Former_db;329;F.obc
Former_db;6;F.pea
Former_db;3;F.cro
Former_db;4;F.nag
Former_db;5;F.ngl
Former_db;349;F.ois
Former_db;350;F.oth
EIA;Crude oil including lease condensate production;F.cro
EIA;Dry natural gas production;F.nag
EIA;Natural gas plant liquids production;F.ngl
EIA;Anthracite production;F.ant
EIA;Bituminous production;F.obc
EIA;Lignite production;F.lig
EIA;Subbituminous production;F.sbc
EIA;Metallurgical coal production;F.coc
USGS_ext;Aragonite;Me.CaCO3
USGS_ext;Chromite ore;O.Cr
USGS_ext;Marble;M.mat
USGS_ext;"Marble, ""traso""";M.mat
USGS_ext;Precious stones;Nm.gem
USGS_ext;Semiprecious stoned;Nm.gem
USGS_ext;Lapis lazulis;Nm.gem
USGS_ext;Asphalt and bitomen, natural;M.asp
USGS_ext;Phosphate rock (natural phosphates);O.P
USGS_ext;Dolomite;M.dol
USGS_ext;Olivinite;M.ign
USGS_ext;Calcite;M.cal
USGS_ext;Clay, common;M.coc
USGS_ext;Dolomite (industrial);M.dol
