MFA4Plus;MFA13Plus;CCC_Code;CCC_Name;material_id;material_name
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.1;Ornamental or building stone;M.orn;Ornamental stone
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.1;Ornamental or building stone;M.sas;Sandstone
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.1;Ornamental or building stone;M.sla;Slate including fill (incl. roof slate)
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.2.1;Chalk;M.cha;Chalk
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.2.2;Dolomite;M.dol;Dolomite
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.2.3;Limestone;M.cal;Calcite
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.2.3;Limestone;Me.CaCO3;Calcium carbonate
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.2.3;Limestone;M.lim;Limestone
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.2.3;Limestone;M.mas;Marl and shell
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.1;Fertilizer minerals n.e.c.;Nm.PO;Phosphate and Phosphorus oxides
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.1;Fertilizer minerals n.e.c.;O.P;Phosphate rock
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.1;Fertilizer minerals n.e.c.;O.K2O;Potash
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.2;Chemical minerals n.e.c.;M.bar;Barite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.2;Chemical minerals n.e.c.;M.bor;Borate minerals
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.2;Chemical minerals n.e.c.;M.flu;Fluorspar
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.2;Chemical minerals n.e.c.;O.FeS;Pyrite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.2;Chemical minerals n.e.c.;O.S;Sulphur ore
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.2;Chemical minerals n.e.c.;Nm.S;Sulphur
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.abr;Abrasives, natural (puzzolan, pumice, volcanic cinder etc.)
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.asb;Asbestos
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.bro;Bromine
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;O.dig;Diamond ore, gems
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;O.dii;Diamond ore, industrial
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;Nm.dia;Diamonds (unspecified)
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.dia;Diatomite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.fel;Feldspar
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;O.gem;Gemstone-bearing mineral ore
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;Nm.gem;Gemstones n.e.c.
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.gra;Graphite, natural
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.iod;Iodine
