material_id;source_material_id
M.tal;Production of talc
M.tal;Pyrophylite
M.tal;Pyrophyllite
M.tal;Soapstone products
M.tal;Talc
M.tal;Talc
M.tal;Talc and Pyrophylite
M.tal;Talc Schist
M.tal;Talc, Steatile and Pyrophilite
M.tal;Talc, Steatite & Pyrophyllite
M.tal;Talco
M.ver;Production of vermiculite
M.ver;Vermiculite
M.ver;Vermiculite
M.wol;Production of wollastonite
M.wol;Wollastonite
Me.Ag;Production of silver, mine
Me.Ag;Silver
Me.Ag;Silver (kg)
Me.As;Arsenic
Me.Au;Gold
Me.Au;Gold (kg)
Me.Au;Production of gold, mine
Me.Bi;Bismuth
Me.Bi;Production of bismuth, mine
Me.Cd;Cadmium
Me.Cd;Production of cadmium
Me.Co;Cobalt
Me.Co;Production of cobalt metal
Me.Co;Production of cobalt, mine
Me.Cr;
Me.Cu;Copper
Me.Cu;Production of copper, mine
Me.Ga;Gallium
Me.Ga;Production of gallium, primary
Me.Ge;Germanium
Me.Ge;Production of germanium metal
Me.Hg;Mercury
Me.Hg;Production of mercury
Me.In;Indium
Me.In;Production of indium, refinery
Me.K2O;Potash
Me.K2O;Potash (K2O)
Me.K2O;Production of potash
Me.Mg;Production of magnesium metal, primary
Me.Mn;Manganese
Me.Mo;Molybdenum
Me.Mo;Production of molybdenum, mine
Me.Nb;Nb content
Me.Ni;Nickel
Me.Ni;Production of nickel, mine
Me.Pb;Lead
Me.Pb;Production of lead, mine
Me.Pd;Palladium
Me.Pd;Palladium
Me.Pd;Palladium (kg)
Me.Pt;Platinum
Me.Pt;Platinum
Me.Pt;Platinum (kg)
Me.Re;Production of rhenium
Me.Re;Rhenium
Me.Re;Rhenium kg
Me.reo;Production of rare earth oxides
Me.reo;Rare Earth Minerals
Me.reo;Rare Earths
Me.reo;Rare Earths (REO)
Me.reo;Rare Earths Concentrates (REO)
Me.Rh;Rhodium
Me.Rh;Rhodium
Me.Rh;Rhodium (kg)
Me.Sb;Antimony
Me.Sb;Production of antimony, mine
Me.Se;Production of selenium metal
Me.Se;Selenium
Me.Sn;Production of tin, mine
Me.Sn;Tin
Me.Ta;Ta content
Me.Te;Production of tellurium metal
Me.Te;Tellurium
Me.Ti;
Me.U;Production of uranium
Me.V;Production of vanadium, mine
Me.W;Production of tungsten, mine
Me.W;Tungsten
Me.W;Tungsten (W)
Me.Zn;Production of zinc, mine
Me.Zn;Zinc
Nm.dig;Diam. (Gem)
Nm.dig;Diamonds (Gem)
Nm.dii;Diam. (Ind)
Nm.dii;Diamonds (Ind)
Nm.dii;Diamonds (Industrial)
O.Al;Bauxite
O.Al;Bauxite (crude ore)
O.Al;Production of bauxite
O.Be;Production of beryl
O.Cr;Production of chromium ores and concentrates
O.Fe;Production of iron ore
O.FeTiO3;Ilmenite
O.FeTiO3;Ilmenite
O.leu;Leucoxene
O.leu;Leucoxene
O.Li;Production of lithium minerals
O.MgCO3;Magnesita
O.MgCO3;Magnesite
O.MgCO3;Magnesite
O.MgCO3;Production of magnesite
O.Mn;Production of manganese ore
O.nep;Nephilin Syenite
O.nep;Production of nepheline syenite
O.P;Guano
O.P;Phosphate rock
O.P;Production of phosphate rock
O.Sr;Celestite
O.Sr;Production of strontium minerals
O.TiO2;Rutile
O.TiO2;Rutile
O.Zr;Production of zirconium minerals
O.Zr;Zircon
O.Zr;Zircon
