alphanumiso;country;material_id;material_name;unit_id;source_all;2016;2017;2018;2019;2020
AUS036;Australia;M.per;Perlite;t;wmd;620;275;2285;1264;2185
AUS036;Australia;O.P;Phosphate rock;t;bgs;1037265;942373;850987;720615;936043
AUS036;Australia;Me.Pt;Platinum;Kg;wmd;152;155;110;95;100
AUS036;Australia;O.TiO2;Rutile;t;bgs;284772;227462;209762;154507;156389
AUS036;Australia;M.sal;Salt nec;t;wmd;10915520;12218780;13493556;12173391;
AUS036;Australia;Me.Ag;Silver;Kg;wmd;1418219;1120175;1254480;1325089;1337344
AUS036;Australia;M.tal;Talc (steatite, soapstone, pyrophyllite);t;wmd;111000;120000;130000;140000;110000
AUS036;Australia;Me.Ta;Tantalum;t;wmd;8.189674850000001;16.379349700000002;32.758699400000005;65.51739880000001;40.94837425
AUS036;Australia;Me.Sn;Tin;t;wmd;6635;7402;6871;7738;8118
AUS036;Australia;Me.W;Tungsten;t;wmd;108;5;10;30;100
AUS036;Australia;Me.U;Uranium;t;wmd;6234.50732208;5712.138373440001;6560.987914980001;6551.65989804;6167.515200420001
AUS036;Australia;M.wol;Wollastonite;t;bgs;1797;1749;2007;0;2426
AUS036;Australia;Me.Zn;Zinc;t;wmd;884826;852164;1146781;1337321;1314910
AUS036;Australia;O.Zr;Zircon;t;wmd;600000;430850;522400;468900;380000
AUS036;Australia;Me.reo;;t;wmd;27744;34528;37112;35273;19440
AUT040;Austria;M.crs;Crushed stone;t;bgs;24862807;25963256;27684134;27674453;27471201
AUT040;Austria;M.fel;Feldspar;t;wmd;35000;35000;35000;35000;35000
AUT040;Austria;O.Fe;Ferrous ore;t;bgs;2777260;2981737;2803536;3242102;3043237
AUT040;Austria;M.gra;Graphite, natural;t;bgs;23200;24400;25000;20000;16500
AUT040;Austria;M.gya;Gypsum and anhydrite;t;wmd;674346;712469;836862;900217;900619
AUT040;Austria;M.kao;Kaolin;t;wmd;13558;13500;13500;13500;13500
AUT040;Austria;O.MgCO3;Magnesite;t;wmd;645593;730482;808239;691909;816370
AUT040;Austria;M.sal;Salt nec;t;wmd;1034003;1156326;1176807;1212158;
AUT040;Austria;M.sag;Sand and gravel;t;bgs;29957472;30926736;31617440;30712467;30010316
AUT040;Austria;M.tal;Talc (steatite, soapstone, pyrophyllite);t;wmd;123040;123558;127866;124184;123000
AUT040;Austria;Me.W;Tungsten;t;wmd;954;975;936;892;896
AZE031;Azerbaijan;M.ben;Bentonite, sepiolite and attapulgite;t;wmd;54545;235617;212300;222500;155100
AZE031;Azerbaijan;Me.Cu;Copper;t;wmd;1947;2063;1650;2213;2591
AZE031;Azerbaijan;O.Fe;Ferrous ore;t;bgs;25500;0;0;0;0
AZE031;Azerbaijan;Me.Au;Gold;Kg;wmd;2034;3667;4239;3897;3635
AZE031;Azerbaijan;M.gya;Gypsum and anhydrite;t;wmd;155800;85100;270471;314224;297594
AZE031;Azerbaijan;M.iod;Iodine;Kg;bgs;207600;198400;185100;190300;182800
AZE031;Azerbaijan;M.sal;Salt nec;t;wmd;63931;66968;66699;77116;
AZE031;Azerbaijan;Me.Ag;Silver;Kg;wmd;5136;6949;8943;8160;7590
BDI108;Burundi;Me.Au;Gold;Kg;wmd;396;953;598;573;863
BDI108;Burundi;Me.Nb;Niobium;t;wmd;5.592353664;12.582795744;3.49522104;3.49522104;3.49522104
BDI108;Burundi;Me.Ta;Tantalum;t;wmd;9.008642335000001;21.293154610000002;6.55173988;6.55173988;5.7327723950000005
BDI108;Burundi;Me.Sn;Tin;t;wmd;51;123;122;143;121
