material_id;mineral_id;est_factor
Me.Ag;O.Ag;3.00E-04
Me.Al;O.Al;NA
Me.Au;O.Au;5.57E-06
Me.Co;O.Co;0.003
Me.Cu;O.Cu;0.009804545
Me.Fe;O.Fe;NA
Me.Mn;O.Mn;NA
Me.Mo;O.Mo;0.001558
Me.Ni;O.Ni;0.02875
Me.Pb;O.Pb;0.05325
Me.Pd;O.PGM;1.00E-05
Me.Pt;O.PGM;1.00E-05
Me.rem;O.rem;0.043333333
Me.reo;O.rem;0.043333333
Me.Rh;O.PGM;1.00E-05
Me.Sn;O.Sn;0.014625
Me.U;O.U;0.002
Me.UO;O.U;0.002
Me.W;O.WO;0.00515
Me.Zn;O.Zn;0.047483871
Nm.dig;O.dig;3.01E-07
Nm.dii;O.dii;3.01E-07
