"","commodity","no_match"
"1","Coking Coal","no_match"
"2","Lignite","no_match"
"3","Nat. Gas","no_match"
"4","Oil shales","no_match"
"5","Oilsands","no_match"
"6","Petroleum","no_match"
"7","Steam Coal","no_match"
"8","Sulfur","no_match"
