"","commodity","no_match"
"1","Boron Minerals","no_match"
"2","Coking Coal","no_match"
"3","Lignite","no_match"
"4","Natural Gas","no_match"
"5","Oil Sands (part of Petroleum)","no_match"
"6","Oil Shales","no_match"
"7","Petroleum","no_match"
"8","Phosphate Rock (P2O5)","no_match"
"9","Salt (rock, brines, marine)","no_match"
"10","Steam Coal ","no_match"
"11","Sulfur (elementar & industrial)","no_match"
