Product
"Hard coal (if no detail) (kt)"
"Brown coal (if no detail) (kt)"
"Patent fuel (kt)"
"Coke oven coke (kt)"
"Gas coke (kt)"
"Coal tar (kt)"
"BKB (kt)"
"Gas works gas (TJ-gross)"
"Coke oven gas (TJ-gross)"
"Blast furnace gas (TJ-gross)"
"Elec/heat output from non-specified manufactured gases"
"Industrial waste (TJ-net)"
"Municipal waste (renewable) (TJ-net)"
"Municipal waste (non-renewable) (TJ-net)"
"Biogasoline (kt)"
"Biodiesels (kt)"
"Other liquid biofuels (kt)"
"Non-specified primary biofuels/waste (TJ-net)"
"Charcoal (kt)"
"Crude/NGL/feedstocks (if no detail) (kt)"
"Refinery feedstocks (kt)"
"Additives/blending components (kt)"
"Refinery gas (kt)"
"Ethane (kt)"
"Liquefied petroleum gases (LPG) (kt)"
"Aviation gasoline (kt)"
"Gasoline type jet fuel (kt)"
"Other kerosene (kt)"
"Fuel oil (kt)"
"Naphtha (kt)"
"White spirit & SBP (kt)"
"Lubricants (kt)"
"Bitumen (kt)"
"Paraffin waxes (kt)"
"Petroleum coke (kt)"
"Other oil products (kt)"
"Heat output from non-specified combustible fuels"
Nuclear
Hydro
"Geothermal (direct use in TJ-net)"
"Solar photovoltaics"
"Solar thermal (direct use in TJ-net)"
"Tide, wave and ocean"
Wind
"Heat pumps"
"Electric boilers"
"Heat from chemical sources"
"Other sources"
"Electricity (GWh)"
"Heat (TJ)"
"Other recovered gases (TJ-gross)"
"Primary solid biofuels (TJ-net)"
"Motor gasoline excl. biofuels (kt)"
"Gas/diesel oil excl. biofuels (kt)"
"Kerosene type jet fuel excl. biofuels (kt)"
"Peat products (kt)"
"Biogases (TJ-net)"
"Bio jet kerosene (kt)"
