alphanumiso;material_id;Concentration;UsedSource;CountryID;CommodityID
PRK408;Me.Eu;0.03;50;KP;31
PRK408;Me.Gd;0.03;50;KP;31
PRK408;Me.Ho;0.03;50;KP;31
PRK408;Me.La;0.03;50;KP;31
PRK408;Me.Lu;0.03;50;KP;31
PRK408;Me.Nd;0.03;50;KP;31
PRK408;Me.Pr;0.03;50;KP;31
PRK408;Me.Pm;0.03;50;KP;31
PRK408;Me.Sm;0.03;50;KP;31
PRK408;Me.Sc;0.03;50;KP;31
PRK408;Me.Tb;0.03;50;KP;31
PRK408;Me.Tm;0.03;50;KP;31
PRK408;Me.Yb;0.03;50;KP;31
PRK408;Me.Y;0.03;50;KP;31
PRK408;Me.Ag;3.00E-04;106;KP;34
PRK408;Me.W;0.00515;99;KP;39
KOR410;Me.Fe;0.428888889;250;KR;7
KOR410;Me.Cu;0.0052;9;KR;17
KOR410;Me.Au;1.00E-05;120;KR;20
KOR410;Me.Mo;0.0019;"52";KR;27
KOR410;Me.Ni;0.025;106;KR;28
KOR410;Me.Ag;3.00E-04;106;KR;34
KOR410;Me.W;0.00515;99;KR;39
KAZ398;Me.Fe;0.39;23;KZ;7
KAZ398;Me.Sb;0.05;"120";KZ;8
KAZ398;Me.Al;0.44;80;KZ;10
KAZ398;Me.Cr;0.49;3;KZ;15
KAZ398;Me.Cu;0.0055;24;KZ;17
KAZ398;Me.Au;9.00E-06;80;KZ;20
KAZ398;Me.Mn;0.21;18;KZ;25
KAZ398;Me.Mo;1.70E-04;23;KZ;27
KAZ398;Me.Ni;0.0075;18;KZ;28
KAZ398;Me.Ag;3.00E-04;106;KZ;34
KAZ398;Me.Sn;0.015;99;KZ;37
KAZ398;Me.W;0.00134;23;KZ;39
KAZ398;Me.U;0.0012;23;KZ;40
LAO418;Me.Sb;0.05;"120";LA;8
LAO418;Me.Cu;0.0052;9;LA;17
LAO418;Me.Au;4.00E-06;106;LA;20
LAO418;Me.Ag;3.00E-04;106;LA;34
LAO418;Me.Sn;0.015;99;LA;37
LKA144;Me.Ce;0.05;50;LK;31
LKA144;Me.Dy;0.05;50;LK;31
LKA144;Me.Er;0.05;50;LK;31
LKA144;Me.Eu;0.05;50;LK;31
LKA144;Me.Gd;0.05;50;LK;31
LKA144;Me.Ho;0.05;50;LK;31
LKA144;Me.La;0.05;50;LK;31
LKA144;Me.Lu;0.05;50;LK;31
LKA144;Me.Nd;0.05;50;LK;31
LKA144;Me.Pr;0.05;50;LK;31
LKA144;Me.Pm;0.05;50;LK;31
LKA144;Me.Sm;0.05;50;LK;31
LKA144;Me.Sc;0.05;50;LK;31
LKA144;Me.Tb;0.05;50;LK;31
LKA144;Me.Tm;0.05;50;LK;31
LKA144;Me.Yb;0.05;50;LK;31
LKA144;Me.Y;0.05;50;LK;31
LBR430;Me.Fe;0.5618;250;LR;7
LBR430;Me.Au;4.00E-06;106;LR;20
LBR430;Nm.dig;1.28E-07;250;LR;74
LSO426;Nm.dig;4.00E-09;250;LS;74
MAR504;Me.Fe;0.606;99;MA;7
MAR504;Me.Cu;0.00905;229;MA;17
MAR504;Me.Au;4.00E-06;106;MA;20
MAR504;Me.Mn;0.297;119;MA;25
MAR504;Me.Hg;0.0105;99;MA;26
MAR504;Me.Ni;0.0135;106;MA;28
MAR504;Me.Ag;3.10E-04;106;MA;34
MDG450;Me.Cr;0.367;250;MG;15
MDG450;Me.Au;4.00E-06;106;MG;20
MDG450;Me.Ce;0.05;50;MG;31
MDG450;Me.Dy;0.05;50;MG;31
MDG450;Me.Er;0.05;50;MG;31
MDG450;Me.Eu;0.05;50;MG;31
MDG450;Me.Gd;0.05;50;MG;31
MDG450;Me.Ho;0.05;50;MG;31
MDG450;Me.La;0.05;50;MG;31
MDG450;Me.Lu;0.05;50;MG;31
MDG450;Me.Nd;0.05;50;MG;31
MDG450;Me.Pr;0.05;50;MG;31
MDG450;Me.Pm;0.05;50;MG;31
MDG450;Me.Sm;0.05;50;MG;31
MDG450;Me.Sc;0.05;50;MG;31
MDG450;Me.Tb;0.05;50;MG;31
MDG450;Me.Tm;0.05;50;MG;31
MDG450;Me.Yb;0.05;50;MG;31
MDG450;Me.Y;0.05;50;MG;31
MKD807;Me.Cu;0.0023;8;MK;17
MKD807;Me.Au;6.00E-06;8;MK;20
MKD807;Me.Ni;0.012;8;MK;28
MKD807;Me.Ag;3.00E-04;106;MK;34
MLI466;Me.Au;4.00E-06;106;ML;20
MLI466;Me.Ag;3.00E-04;106;ML;34
MMR104;Me.Sb;0.05;"120";MM;8
MMR104;Me.Cr;0.373;3;MM;15
MMR104;Me.Cu;0.0052;9;MM;17
MMR104;Me.Au;1.00E-05;120;MM;20
MMR104;Me.Mn;0.4;251;MM;25
MMR104;Me.Ni;0.03;120;MM;28
MMR104;Me.Ag;3.00E-04;106;MM;34
MMR104;Me.Sn;0.015;99;MM;37
MMR104;Me.W;0.00515;99;MM;39
MNG496;Me.Fe;0.53;17;MN;7
MNG496;Me.Cu;0.00552;17;MN;17
MNG496;Me.Au;1.00E-05;120;MN;20
MNG496;Me.Mo;5.00E-04;17;MN;27
MNG496;Me.Ag;3.00E-04;106;MN;34
MNG496;Me.Sn;0.015;99;MN;37
MNG496;Me.W;0.00515;99;MN;39
MRT478;Me.Fe;0.57;6;MR;7
MRT478;Me.Cu;0.0099;9;MR;17
MRT478;Me.Au;4.00E-06;106;MR;20
MWI454;Me.U;0.002;"106";MW;40
MEX484;Me.Fe;0.6;251;MX;7
