"AlphaNumISO","Year","CCC","UsedValue"
"MRT478",1971,"A.2.1.Fe",8457
"MYS458",1971,"A.2.1.Fe",950
"NGA566",1971,"A.2.1.Fe",0
"NOR578",1971,"A.2.1.Fe",4056
"NZL554",1971,"A.2.1.Fe",576
"PAK586",1971,"A.2.1.Fe",0
"PER604",1971,"A.2.1.Fe",11603
"PHL608",1971,"A.2.1.Fe",2250
"POL616",1971,"A.2.1.Fe",2078
"PRK408",1971,"A.2.1.Fe",8500
"PRT620",1971,"A.2.1.Fe",99
"ROU642",1971,"A.2.1.Fe",3467
"RUS643",1971,"A.2.1.Fe",0
"SCG891",1971,"A.2.1.Fe",0
"SDN736",1971,"A.2.1.Fe",0
"SLE694",1971,"A.2.1.Fe",0
"SUN810",1971,"A.2.1.Fe",203004
"SVK703",1971,"A.2.1.Fe",0
"SWE752",1971,"A.2.1.Fe",34367
"SWZ748",1971,"A.2.1.Fe",2886
"THA764",1971,"A.2.1.Fe",42
"TUN788",1971,"A.2.1.Fe",936
"TUR792",1971,"A.2.1.Fe",2550
"UGA800",1971,"A.2.1.Fe",0
"UKR804",1971,"A.2.1.Fe",0
"URY858",1971,"A.2.1.Fe",0
"USA840",1971,"A.2.1.Fe",82298
"VEN862",1971,"A.2.1.Fe",20240
"VNM704",1971,"A.2.1.Fe",0
"YUG890",1971,"A.2.1.Fe",3728
"ZAF710",1971,"A.2.1.Fe",10496
"ZWE716",1971,"A.2.1.Fe",550
"AGO024",1972,"A.2.1.Fe",4831
"ALB008",1972,"A.2.1.Fe",594
"ARG032",1972,"A.2.1.Fe",259
"AUS036",1972,"A.2.1.Fe",64401
"AUT040",1972,"A.2.1.Fe",4132
"AZE031",1972,"A.2.1.Fe",0
"BEL056",1972,"A.2.1.Fe",113
"BGR100",1972,"A.2.1.Fe",3207
"BIH070",1972,"A.2.1.Fe",0
"BOL068",1972,"A.2.1.Fe",0
"BRA076",1972,"A.2.1.Fe",39324
"BTN064",1972,"A.2.1.Fe",0
"CAN124",1972,"A.2.1.Fe",38735
"CHL152",1972,"A.2.1.Fe",8640
"CHN156",1972,"A.2.1.Fe",60000
"COL170",1972,"A.2.1.Fe",416
"CSK200",1972,"A.2.1.Fe",1581
"CUB192",1972,"A.2.1.Fe",0
"DEU276",1972,"A.2.1.Fe",5093
"DZA012",1972,"A.2.1.Fe",3669
"ECU218",1972,"A.2.1.Fe",0
"EGY818",1972,"A.2.1.Fe",427
"ESP724",1972,"A.2.1.Fe",6685
"FIN246",1972,"A.2.1.Fe",573
"FRA250",1972,"A.2.1.Fe",54246
"GBR826",1972,"A.2.1.Fe",9048
"GTM320",1972,"A.2.1.Fe",0
"HKG344",1972,"A.2.1.Fe",162
"HUN348",1972,"A.2.1.Fe",695
"IDN360",1972,"A.2.1.Fe",0
"IND356",1972,"A.2.1.Fe",35476
"IRN364",1972,"A.2.1.Fe",2
"IRQ368",1972,"A.2.1.Fe",0
"ITA380",1972,"A.2.1.Fe",616
"JPN392",1972,"A.2.1.Fe",1347
"KAZ398",1972,"A.2.1.Fe",0
"KEN404",1972,"A.2.1.Fe",0
"KOR410",1972,"A.2.1.Fe",492
"LBR430",1972,"A.2.1.Fe",22978
"LUX442",1972,"A.2.1.Fe",4116
"MAR504",1972,"A.2.1.Fe",234
"MEX484",1972,"A.2.1.Fe",5089
"MKD807",1972,"A.2.1.Fe",0
"MLI466",1972,"A.2.1.Fe",0
"MNG496",1972,"A.2.1.Fe",0
"MRT478",1972,"A.2.1.Fe",9298
"MYS458",1972,"A.2.1.Fe",521
"NGA566",1972,"A.2.1.Fe",0
"NOR578",1972,"A.2.1.Fe",3881
"NZL554",1972,"A.2.1.Fe",1380
"PAK586",1972,"A.2.1.Fe",0
"PER604",1972,"A.2.1.Fe",9414
"PHL608",1972,"A.2.1.Fe",2205
"POL616",1972,"A.2.1.Fe",1654
"PRK408",1972,"A.2.1.Fe",8700
"PRT620",1972,"A.2.1.Fe",43
"ROU642",1972,"A.2.1.Fe",3361
"RUS643",1972,"A.2.1.Fe",0
"SCG891",1972,"A.2.1.Fe",0
"SDN736",1972,"A.2.1.Fe",0
"SLE694",1972,"A.2.1.Fe",0
"SUN810",1972,"A.2.1.Fe",208000
"SVK703",1972,"A.2.1.Fe",0
"SWE752",1972,"A.2.1.Fe",33979
"SWZ748",1972,"A.2.1.Fe",2566
"THA764",1972,"A.2.1.Fe",28
"TUN788",1972,"A.2.1.Fe",890
"TUR792",1972,"A.2.1.Fe",1992
"UGA800",1972,"A.2.1.Fe",0
"UKR804",1972,"A.2.1.Fe",0
"URY858",1972,"A.2.1.Fe",0
"USA840",1972,"A.2.1.Fe",76644
"VEN862",1972,"A.2.1.Fe",17327
"VNM704",1972,"A.2.1.Fe",0
"YUG890",1972,"A.2.1.Fe",3960
"ZAF710",1972,"A.2.1.Fe",11223
"ZWE716",1972,"A.2.1.Fe",550
"AGO024",1973,"A.2.1.Fe",6052
"ALB008",1973,"A.2.1.Fe",384
"ARG032",1973,"A.2.1.Fe",237
"AUS036",1973,"A.2.1.Fe",84828
"AUT040",1973,"A.2.1.Fe",4211
"AZE031",1973,"A.2.1.Fe",0
"BEL056",1973,"A.2.1.Fe",116
"BGR100",1973,"A.2.1.Fe",2773
"BIH070",1973,"A.2.1.Fe",0
"BOL068",1973,"A.2.1.Fe",0
