Country	ISOAlpha3	ISONum3	AlphaNumISO	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Bahrain	BHR	48	BHR048	124.0440676	89.57975296	139.9176671	86.96457229	180.5802767	176.0313252	380.2209083	466.3560555	727.4083485	138.8345139	173.4947845	187.0914739	474.9198705	813.0965634	748.7091579	683.1707208	552.6779098	462.525546	563.987865	816.0763532	721.8145709	650.5814405	962.4759971	1134.820059	1128.789825	1026.84374	847.1158159	852.4678885	952.6679612	892.3560338	840.5561064	822.9060913	1006.8622	1102.261389	1137.388737	1391.834141	1008.12981	1109.053928	1938.331359	3039.99279	2191.073963	1402.7642
Bangladesh	BGD	50	BGD050		78.4928	27.63968	36.48	105.01376	205.61344	191.24032	805.0418463	412.33344	392.43968	409.01376	420.0672	397.96032	373.64032	332.74624	292.94656	357.7061478	380.1717953	2277.73855	2399.518208	2362.728128	2363.610944	2366.383395	2959.787776	3578.934838	4192.001899	4387.265208	5087.076027	9751.703488	7927.231424	10148.13701	10522.74305	11591.10376	10627.71127	11351.3773	15385.1399	14778.76873	14903.16509	14431.16449	14080.7639	16381.20808	16573.74454
Barbados	BRB	52	BRB052	66.05836582	68.33179456	67.91055027	60.23697619	52.13607418	45.81101734	43.13063962	52.82627213	56.57207379	81.61716122	77.94193862	80.79538963	125.2544606	0	200.0807373	265.30688	131.3676367	122.1683	107.1100078	131.6928	243.2	253.4089791	269.4065802	162.146743	159.6356106	159.3450145	241.7366486	224.277824	305.8692255	225.1205996	193.5796523	176.0488867	154.1023777	151.080974	148.1840473	302.914191	381.4289569	50.64606925	383.0604543	352.4291286	36.93431098	91.8388864
Belarus	BLR	112	BLR112																							2796.8	2310.4	1809.408	1501.76	1783.872	2281.216	2448.30942	2439.315398	1971.168419	1885.637178	1994.229658	2264.527126	2677.279843	2997.690877	3592.130443	4291.382718	4934.863787	5081.667035	5908.115485	5513.354031
Belgium	BEL	56	BEL056	6582.436525	6807.021477	7206.824679	7101.052232	7822.111778	7400.626576	7714.385336	7098.838499	6687.038951	6644.735498	6254.658321	5210.400772	5066.954641	4427.847999	4396.012322	4382.680623	4654.753016	4617.248949	5676.230605	5936.151013	6356.458865	6387.971203	6528.056037	6796.688142	7971.558625	7095.457202	6775.799714	7417.870127	5678.129783	6629.15571	7444.070058	7351.841799	6178.863785	6289.844619	7151.202116	7206.205418	7671.028271	7220.865258	7516.505602	6476.33824	7197.170038	8295.527712
Belize	BLZ	84	BLZ084						14.15934842	18.52989075	19.48039174	16.13575091	17.4670727	16.24772723	17.39896098	18.55019474	22.13968785	24.84431358	26.27955933	29.9000641	39.74758326	45.30328879	68.50461595	65.76167841	77.08864398	88.41560954	99.54417254	117.7991452	88.72139899	76.03557238	71.2040369	64.99962648	75.91237504	114.5360493	237.786771	231.3165607	188.0252041	109.5784375	96.57083366	101.6837537	104.1158109	271.1401828	124.5368459	87.71338225	197.0873052
Benin	BEN	204	BEN204	100.2203962	56.3010432	62.68435859	70.13490976	0	0	0	0	0	0	348.9091393	362.0492524	382.9231254	395.5026347	425.762784	456.0229333	486.2830826	516.5432319	423.5861012	515.1569705	606.2171198	660.7972691	751.8574184	986.4624069	729.101761	1080.850452	790.0556677	902.7771945	569.3848615	762.3080689	1004.992121	1604.079658	1251.971095	1357.469614	1058.263031	1217.653463	2426.038831	2333.076323	2318.671771	2441.104968	2520.603544	2793.715511
Bermuda	BMU	60	BMU060		0.03938624	0.039983296	0.119992448	11.13078733	12.37016736	11.95307814	13.59185216	21.5483177	9.711306752	0	0	0	34.30336	190.882816	70.475712	90.8942749	111.3128378	131.7314007	100.1769644	68.622528	41.819456	103.307712	72.59748122	36.29874061	0	0	0	0.005310272	0.010620544	0.015930816	0.021241088	0.02655136	0.031861632	0.037171904	0.042482176	0.047792448	0.195294464	0.62828592	1.061277376	0.963045856	0.864814336
Bhutan	BTN	64	BTN064																						141.056	141.056	1.908842752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.94678086
Bolivia	BOL	68	BOL068	154.4940111	159.3443336	185.7864335	134.7349852	236.95906	327.6297789	302.7090555	349.5728954	350.3969895	362.9172575	373.4272938	460.8839612	398.5347693	408.501824	354.2802103	469.9881724	373.6769574	501.5605476	558.2798816	629.0670576	690.5579756	730.7037535	741.8765358	856.995351	994.2064385	1151.791606	1227.254088	1343.310998	1508.81471	1534.667415	1370.367971	1288.369321	1328.78079	1491.157847	1658.839881	1969.104283	2160.551541	2344.522279	2544.721669	3037.35982	3144.263949	3588.656087
Bosnia and Herzegovina	BIH	70	BIH070																							182.4	182.4	182.4	274.816	182.4	243.2	364.8	364.8	763.648	858.496	1109.6	1806.844974	1897.393714	1913.113625	2073.977263	2241.001274	2286.315205	1724.658515	1503.940205	1518.453681
Botswana	BWA	72	BWA072																															581.5048326	552.2242007	608.5260647	472.3351092	1045.688885	781.0540721	716.319338	859.3445479	929.1951301	1011.68536	1008.226487	955.1633743
Brazil	BRA	76	BRA076	11374.474	12283.67899	14163.37408	16473.88092	18330.02857	21476.75331	23678.33516	23633.68672	27192.20976	30171.16805	32899.49958	31547.87158	31262.05974	25410.12734	23933.69201	24924.20366	30735.13538	30976.76731	30793.8079	31524.99617	31442.72902	33381.85748	29376.25155	30199.89286	30830.36363	34733.32786	42369.93222	46683.10375	49041.40773	48977.46172	47603.28139	47742.36434	46819.26411	41949.16208	42180.93066	44615.05291	49474.04651	54874.92489	62549.44914	63367.79941	74178.40696	81193.59289
British Indian Ocean Territory	IOT	86	IOT086																																										
British Virgin Islands	VGB	92	VGB092																																										
Brunei Darussalam	BRN	96	BRN096	65.11524109	79.45459155	95.95124883	72.17493702	92.63016557	145.7263702	140.7195851	166.1050492	119.9263487	78.0400528	119.953609	117.9846156	219.0651883	196.4027653	184.3765156	197.2924371	169.0888663	167.8619016	245.116945	225.7880863	302.708608	226.533504	217.4515745	389.3159219	620.4373891	596.907768	694.9781469	1036.248526	625.0196005	571.3029971	556.4983937	506.4297903	500.9764802	427.3143363	423.3298001	438.193264	392.2567279	394.9498484	494.9229688	521.9360893	634.0692097	691.4823302
Bulgaria	BGR	100	BGR100	4469.3472	4728.02688	4764.50688	5090.61376	5237.64032	5302.976	5315.02656	5684.2528	6274.56	6581.87968	6529.92	6632.7328	6840.5472	6877.0272	6966.57344	6453.64032	6947.78624	6694.6272	6730.20736	6123.776	5727.36	2886.784	2603.001265	2440.512	2675.2	2517.12	366.7912681	0	1114.797898	1550.736575	1432.923727	1040.990054	1209.428206	1035.802521	1873.936722	2725.436508	4508.808597	4916.867809	5778.893239	3724.231309	2750.075539	2583.013626
Burkina Faso	BFA	854	BFA854	27.09530963	40.29572045	41.73613568	49.06822413	64.07635757	59.26454707	64.42086861	79.13205606	86.09400141	126.0600399	135.4792878	114.93225	156.7190625	100.5857969	115.6639879	130.7421788	145.8203698	160.8985607	175.9767517	191.0549426	206.1331336	221.2113245	236.2895155	251.3677064	266.4458974	318.0040883	342.2126711	342.0874268	354.1636042	431.3671852	500.5872884	158.8672196	172.8695599	645.387378	684.4107271	793.1082217	911.843271	1194.73832	1254.717006	1291.023884	1400.656067	1388.777653
Burundi	BDI	108	BDI108					21.53079757	23.06897434	20.33708442	23.71160974	27.08613506	30.46066037	33.83518569	37.20971101	40.58423633	43.95876165	47.33328697	50.70781229	54.08233761	57.45686293	60.83138825	64.20591357	67.58043889	70.95496421	74.32948953	77.70401485	40.01023283	48.61980467	33.04877875	28.95956531	43.10104218	38.12472269	44.13392352	53.82035334	63.13581197	71.86678682	80.59776166	85.68330714	73.37055808	102.6878183	85.66108474	134.1161257	182.6719718	204.2197508
Cambodia	KHM	116	KHM116	85.86642944	83.40163514	88.97163622	157.4697112	153.0077862	182.8127412	212.6176962	242.4226512	223.5876062	259.8302083	296.0728104	332.3154124	368.5580145	404.8006166	441.0432186	477.2858207	513.5284227	549.7710248	586.0136269	622.2562289	658.498831	694.7414331	730.9840351	767.2266372	803.4692392	839.7118413	991.1167963	1020.921751	989.9267063	979.6036613	968.0646163	1032.794024	1235.631468	1212.497098	1351.10416	1469.747027	1777.668316	1786.311487	2324.358541	2131.851073	1949.884565	2047.126211
Cameroon	CMR	120	CMR120	201.0021747	333.614042	415.5444972	416.5952379	490.9901933	543.3756897	533.4690715	820.1462444	589.5491748	1032.89674	975.4209932	920.3212017	871.8607702	987.4879242	1006.461318	1025.434712	1044.408106	1523.490689	1215.015317	906.539946	934.2029732	827.1048608	842.8227484	983.788636	1001.938524	937.4004111	443.4215014	923.1605842	1369.540783	1457.252111	1565.844619	1860.947621	1717.533233	1658.709026	1981.638068	2121.506489	2158.093579	2255.372987	2047.736952	2322.475593	2591.219379	2724.936073
Canada	CAN	124	CAN124	4285.78698	5453.919617	6428.45696	7757.019648	8303.210378	7928.050048	7367.893568	7283.600458	8078.798862	9797.438464	8198.747456	8362.238685	5648.90976	4956.777142	5829.621952	7902.404608	8521.127286	11036.72973	11400.09517	13019.85755	11547.21747	8768.969984	4021.394688	4254.03008	8287.487488	7518.787008	8347.035008	9039.945856	8453.51648	9538.62016	10468.93312	10255.40352	9888.269813	10033.68011	10570.90474	11025.89296	12130.57866	12803.94729	12907.3783	10304.02568	12425.37048	12276.92835
Cape Verde	CPV	132	CPV132	21.00032	12.16	9.94688	14.37312	4.42624	4.42624	4.42624	4.42624	46.514432	66.167424	34.811648	47.89384035	60.9760327	74.05822505	87.1404174	100.2226097	113.3048021	126.3869944	139.4691868	152.5513791	165.6335715	178.7157638	191.7979562	204.8801485	217.9623409	231.0445332	221.740246	175.6748001	160.0107064	192.8143444	201.8879078	194.1521244	224.2233119	252.1741542	251.3481351	282.9617347	337.6585225	374.5382728	415.3619014	348.3097486	360.3143949	355.7332572
Cayman Islands	CYM	136	CYM136											12.16094483																															
Central African Republic	CAF	140	CAF140	0.164116224	0.24565024	9.405631104	18.56561197	14.64029871	23.46783531	19.39074214	18.92718714	12.04038816	9.925629184	17.61875654	21.30356887	24.98838119	28.67319351	32.35800583	36.04281815	39.72763047	43.41244279	47.09725511	50.78206744	42.86710288	34.95213833	27.03717377	19.12220922	21.17320602	17.05996563	12.58960307	14.78869286	23.97968994	30.30363018	26.45780734	23.90924979	14.36483418	12.19047418	21.74932493	21.30891283	18.21656646	15.0914489	18.86364262	32.19357446	34.63336781	51.39107354
Chad	TCD	148	TCD148	16.71556038	13.89575974	13.96497203	18.97928301	15.01350816	17.31309914																				62.67963443						0	0	0	0	0	0	0	0	0	0	0
Chile	CHL	152	CHL152	2483.632953	1661.508862	1707.251585	1664.266899	1701.527352	1197.107035	1102.282463	1247.967171	1412.428029	1595.698292	1862.666803	2355.717261	1353.641039	1485.68134	1659.243439	1695.191247	1719.592179	1924.726726	2214.380754	2452.680959	2500.983524	2661.227564	3251.64177	3951.747393	3772.079711	4133.766193	5122.729751	5438.642323	5260.503046	4036.478194	4581.746396	4780.291787	4666.408924	4841.654167	5186.157873	5795.120575	5599.119825	6140.841011	6618.003522	5599.767167	6426.735554	7333.083406
China	CHN	156	CHN156	12160	27968	34534.4	30466.3328	30466.3328	36590.54656	60073.71968	67811.89376	79497.65376	90051.4272	97313.16032	102358.4538	114632.32	131908.3603	147542.8128	177941.5931	200858.7585	221236.6902	256483.7925	252680.3728	239025.4859	294310.3736	367487.9994	446046.2216	508302.0151	569129.5067	583005.8393	608260.4374	642055.1459	689646.0518	720323.0954	799680.0266	878205.1568	1044892.007	1172266.575	1274191.83	1461329.845	1615830.543	1657360.86	1981090.443	2270921.711	2498833.437
Christmas Island	CXR	162	CXR162																																										
Cocos (Keeling) Islands	CCK	166	CCK166																																										
Colombia	COL	170	COL170	3077.517615	3189.677523	3194.854375	3541.803414	3675.14632	3319.546618	3576.806903	3492.32304	4271.573204	4342.578801	4304.073308	4602.590801	5332.855193	5172.58741	5650.595478	5925.655671	6655.854256	5805.109907	6849.025542	6837.138835	5895.540123	5725.889263	6686.13102	8221.910787	9990.499087	9960.921327	8986.844294	8564.466061	9209.083615	8855.285077	9316.544823	5535.570904	5106.872219	5883.283694	6491.446217	9314.343551	9785.256667	11054.12861	11085.65473	10314.09022	11265.27099	12930.12839
Comoros	COM	174	COM174																										53.93899725	29.69677261	30.93940301	39.53180006	42.97335245	50.75692224	33.32809395	35.75956013	45.26676493	84.23539891	127.7473834	126.4142461	23.61175539	63.40352531	147.1925987	797.7580306	151.4552478
Cook Islands	COK	184	COK184				0																												0	0	0	0	1.781332992	0	1.010609088	0	0.492203968	0.520708224	0.467665088
Costa Rica	CRI	188	CRI188	235.857989	264.9184379	320.8697042	347.5856547	373.5427105	403.6971976	440.1701497	499.2547324	613.6368811	649.4991628	682.2198514	510.7427611	410.0029188	460.3606332	536.136832	564.5408081	614.2368421	691.9941202	650.2622758	709.1425997	730.8177936	833.7369474	842.5100116	1043.536932	1148.386073	1046.892908	1012.017809	1062.154615	1346.57373	1428.119586	1063.961559	1273.095914	1319.020629	1297.187218	1598.806519	1751.348074	1503.777394	2610.466653	2379.655229	2193.784898	1128.470494	1599.848391
Cote d'Ivoire	CIV	384	CIV384	911.224997	1057.739784	1298.341211	1429.268087	1459.402245	1603.125478	1838.115921	2312.514955	2608.149461	2654.720712	2664.044873	2415.613515	2054.657514	1300.188058	1090.240307	1176.558797	1283.645555	1122.117913	1165.51059	912.9045484	901.7109862	890.5174241	891.483862	868.1302999	856.9367378	1453.743176	1585.24017	2201.200321	1686.663909	1871.481901	1511.127052	1444.960349	1522.422739	1517.216955	1499.179332	1379.47093	1153.92942	1270.994795	1344.423445	1302.714934	1415.471688	1191.197841
Croatia	HRV	191	HRV191																							1185.316983	1205.572168	1277.397022	1546.854183	1946.709362	2247.336975	2469.785712	2218.961294	1922.111687	2158.298024	2628.283423	3346.830481	3356.535878	2844.0157	2987.940878	3284.051181	3244.416282	2633.895066	1945.39378	2011.258438
Cuba	CUB	192	CUB192	904.26624	917.5328	917.5328	1824	1824	2538.12032	3047.73376	3236.77312	3304.20032	3182.60032	3450.12032	4011.69344	3854.72	3937.62688	4078.02624	3988.48	4027.17312	4307.95968	4336.40192	3844.727097	3648	2432	2432	1275.584	1314.496	1787.52	1766.848	2083.008	2083.008	1142.779094	1174.462492	443.2878995	273.3428269	422.0213023	582.4755788	453.2195686	739.7738342	2194.88	2075.712	1977.216	2103.68	2110.976
Cyprus	CYP	196	CYP196	356.8604101	391.7644936	367.8703951	547.0264902	372.4150225	180.8133462	363.1820804	371.117852	506.9013551	624.4321011	707.8428185	662.7289534	685.3345345	675.9828001	683.3593723	723.5027036	646.5678915	449.0092257	422.074816	674.780288	636.1260605	923.6103485	847.3063583	864.487232	429.3659435	598.7275294	572.3962982	322.4441567	907.7813677	858.8114292	1050.840013	1170.83254	1229.2303	1598.233679	1901.166047	1937.858116	1895.52907	2238.958974	2444.832764	1753.68242	1639.362082	1501.757288
Czech Republic	CZE	203	CZE203																								4440.073819	4057.064248	4420.855046	4780.818868	4911.819618	4320.567226	4062.309672	3979.687222	4152.421959	4804.5553	4972.357478	5450.673228	5577.400888	5915.750776	6443.673093	6434.736737	5088.036671	4464.318664	4969.914328
Czechoslovakia	CSK	200	CSK200	9019.40032	9694.83968	9803.17312	10212.18688	10926.3072	11338.6528	11639.33312	11879.21344	12434.1472	12499.37344	12850.90688	12972.50688	12581.17376	12792.32	12831.01312	12491.63968	12381.09312	12635.34656	13344.57856	13239.808	12421.44	10091.584	10336																			
Denmark	DNK	208	DNK208	2984.848235	3061.954111	3218.658626	3640.517008	2823.893134	2449.664214	2715.569887	2712.332321	2812.060277	2714.293213	1980.151096	1513.295628	1545.964968	1535.853819	1586.858822	1797.723004	2139.459798	1986.305522	1745.938909	1829.020271	1779.07775	1600.449412	1402.013835	2254.396916	2361.27565	2560.975809	2625.561907	2054.499512	1908.922035	1324.025424	1258.486207	1210.771209	1170.576461	1173.311677	1518.038279	1350.22235	1429.989805	1590.104349	2312.205174	1570.099189	1327.274397	1635.581935
Djibouti	DJI	262	DJI262											28.40177882	27.97007206		24.90482304	40.0255447	35.45325824	23.51934182	34.08941696	35.02110765	29.46488262	34.0347833	45.51685965										0	0	0	0	0	0	0	0	36.11918118	0	0
Dominica	DMA	212	DMA212								1.87872	3.36224	0.15219456	9.000973056	11.5090071	11.03346112	10.55791514	13.37265357	16.135104	16.35649139	17.48136678	20.877504	31.48101914	26.15186235	20.82148957	15.49111678	10.160744	16.25755642	27.41187942	24.46140378	22.79026714	23.86853325	24.94679936	35.93403181	37.01022829	36.00418406	42.81621363	38.7412809	41.68932576	32.253184	25.16463846	30.6704992	30.81954189	20.91348625	11.00743061
Dominican Republic	DOM	214	DOM214	600.26624	726.2797983	841.5662959	723.2320719	766.5404858	731.7862744	883.4818561	1192.766316	1058.524307	1049.114443	1189.026908	1026.732403	1067.835212	1333.798379	1348.804202	1158.86016	1297.03424	1326.488919	1816.75872	1945.50448	1288.872319	1501.680159	1659.767998	1545.471838	1584.391677	1766.799517	1996.663844	2231.063099	2287.583939	3572.264779	3032.945619	3321.722459	5987.343594	5196.828346	4589.570562	4546.831853	4375.889606	3967.278281	4243.964751	3249.262786	3740.537759	3370.585243
DR Congo	COD	180	COD180	508.2330283	554.93376	566.2964543	620.3730845	642.765119	716.5088881	755.3264706	562.9139339	544.5973745	548.30656	539.46624	497.45344	658.85312	624.58624	651.1072	549.097157	501.0423266	599.15968	602.30912	559.36	560.576	304	211.584	181.184	60.8	285.76	293.056	152	162.944	193.344	205.504	231.648	286.368	402.496	490.048	621.376	644.48	644.48	499.776	559.7248	595.4752	556.6848
Ecuador	ECU	218	ECU218	408.8526376	459.9420434	472.1264558	663.0800175	707.2492196	910.0240097	1011.475026	1137.226683	1399.188766	2119.260073	2870.27858	1968.070532	1971.338338	1792.179026	2161.951936	2406.861012	2553.085115	2628.301319	2685.219384	2749.806188	2749.416268	2809.322255	2742.114906	2554.338242	2712.725863	3379.882827	3767.097472	3526.986477	3273.901384	2800.76654	3404.234672	3700.395808	3859.194999	3911.185461	3956.43542	4112.401022	5212.067335	5800.862813	6466.404728	7006.055382	6566.014175	7684.470143
