Country	ISOAlpha3	ISONum3	AlphaNumISO	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Bahrain	BHR	48	BHR048	246.986428	178.3638963	278.5926445	173.1567619	359.5567154	350.4992144	757.0648546	1191.545813	1795.005922	623.0857181	680.1449814	695.2641601	1256.411143	1917.807545	1777.651156	1635.202927	1363.422847	1171.965375	1362.035427	1959.60098	1532.845809	1618.127571	2095.705288	2462.769604	2426.855814	2199.962206	1794.288866	1948.386756	1980.548807	1908.274377	2426.713467	2260.082357	2781.755475	2194.732956	3328.531827	4229.626277	3358.044555	3786.111786	5473.161675	7762.327565	5964.448689	3988.413638
Bangladesh	BGD	50	BGD050	0	156.28846	55.033876	72.636	209.094832	409.400708	380.782124	1602.93365	821.004708	781.393876	814.394832	836.40354	792.386124	743.962124	662.537168	583.291292	712.2353003	756.9670647	4535.247185	4777.724906	4704.4715	5076.785931	5297.468129	6765.889083	8022.591083	9410.628363	10158.02393	10905.94439	20265.49069	16465.4026	21114.60398	21836.5821	23892.09413	22105.35343	23402.81692	31314.98154	30227.15913	30450.94015	29260.10882	28442.88533	33238.50404	33657.72725
Barbados	BRB	52	BRB052	131.5300291	136.0566949	135.2179476	119.9389529	103.8090977	91.21516052	85.87821105	105.1833635	112.6416982	162.5094332	155.1916298	160.8731886	249.3964638	0	398.3844417	528.257416	261.5685214	243.2515527	213.2687096	262.21596	567.91408	576.2879263	560.3272846	382.6205669	389.5740448	377.0419937	541.093494	506.3309068	609.0218493	448.2417727	385.4400116	350.5341814	306.8360829	300.8201103	295.0519863	603.1380258	759.4702223	100.8423214	762.718727	701.72813	73.54058695	182.8620985
Belarus	BLR	112	BLR112																					0	0	5568.76	4600.28	3602.7456	8500.71784	8369.13672	10052.70704	10935.26807	9674.202143	7690.163349	7615.488041	7401.384688	8214.508075	9586.205853	10236.13561	12734.61358	14437.6971	16890.38123	15341.85412	17381.87438	15783.02365
Belgium	BEL	56	BEL056	19788.38358	21574.3441	21808.58794	20749.28823	21252.63485	20915.45238	22078.08803	19704.93114	18753.50164	19494.05781	18215.32348	15203.71472	14690.98113	12868.58588	12494.40783	12025.58556	13643.12352	12982.72992	15617.23916	16051.09739	16816.25946	17213.70058	16847.14031	18230.71288	20318.9969	18777.7837	17340.42731	19013.32906	15023.34865	17992.76349	19722.93542	18547.16251	15805.20742	16336.97285	19354.96259	22596.28195	24920.35178	24681.46311	24540.95821	22971.90629	24431.07464	26163.80412
Belize	BLZ	84	BLZ084						28.19293946	36.89520682	38.78776685	32.12819088	34.77901022	32.35114898	34.64339172	36.93563446	44.08274032	49.46797042	52.32571468	59.53456841	79.14214522	90.20421285	136.4008028	130.9392893	153.4926191	176.0459489	198.2042357	234.5520479	176.6548119	151.3958288	141.7756695	129.4219537	151.1505283	228.0548376	473.46162	460.5786651	374.3804475	218.1836454	192.2839658	202.4643952	207.306909	539.8722126	247.967608	174.6477312	392.424164
Benin	BEN	204	BEN204	199.5506771	112.1020442	124.8119811	139.6469108	0	0	0	0	0	0	694.7194146	720.8829357	762.4452888	787.4925815	847.7441222	907.9956629	968.2472036	1028.498744	843.4100889	1025.738534	1207.050074	1315.725615	1497.037156	1964.16347	1451.727947	2152.101246	1573.094394	1797.536302	1133.712686	1517.845639	2001.058326	3193.912557	2492.822711	2702.882754	2107.127016	2424.492241	4830.530607	4645.431244	4616.750076	4860.529069	5018.820149	5562.618416
Bermuda	BMU	60	BMU060		0.078422668	0.079611477	0.238919174	22.16271569	24.6304681	23.79999408	27.06298721	42.90525231	19.33636177	0	0	0	68.302052	380.0702912	140.3254884	180.9812651	221.6370418	262.2928186	199.4641991	160.5424596	95.2209292	217.6513284	156.5036222	84.22853109	11.95344	11.95344	11.95344	0.01057338	0.021146761	0.031720141	0.042293522	0.052866902	0.063440282	0.074013663	0.084587043	0.095160424	0.388854405	1.250991669	2.137035813	1.917538344	1.721947755
Bhutan	BTN	64	BTN064																					11.95344	292.81264	292.81264	15.75417197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145.2456791
Bolivia	BOL	68	BOL068	307.6158715	317.2734379	369.9227902	268.2733109	471.8135493	652.3496881	602.7295766	696.0410315	697.6819005	722.6112367	743.5379637	917.6745452	829.3902407	849.2358268	729.3207329	971.6624278	767.9419534	1010.619886	1171.368556	1300.360766	1410.843026	1478.824584	1501.070917	1730.28611	2003.489634	2317.260363	2467.515101	2710.551594	3028.135644	3091.56488	2776.378671	2589.202768	2669.666788	2992.978737	3326.853525	3956.580131	4325.820852	4692.128379	5102.702512	6083.603408	6284.508749	7169.346122
