Country	ISOAlpha3	ISONum3	AlphaNumISO	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Bangladesh	BGD	50	BGD050		3.2275	1.1365	1.5	4.318	8.4545	7.8635	33.1020496	16.9545	16.1365	16.818	17.2725	16.3635	15.3635	13.682	12.0455	14.708312	15.63206395	93.65701275	98.6644	97.15165	97.18795	97.3019488	121.7018	147.1601496	172.3684992	180.3974181	209.172534	400.97465	325.9552395	417.2753706	432.6785796	476.6078847	436.9947067	466.7507112	632.6126603	607.6796352	612.7946173	593.386698	578.9787786	673.5694111	681.4862063
Barbados	BRB	52	BRB052	2.7162157	2.8096955	2.7923746	2.47684935	2.14375305	1.8836767	1.7734638	2.1721329	2.32615435	3.3559688	3.20484945	3.32217885	5.15026565	0	8.227004	10.909	5.4016298	5.0233676	4.4041944	5.415	10	10.4197771	11.0775732	6.66721805	6.56396425	6.5520154	9.9398293	9.22195	12.5768596	9.2566036	7.95968965	7.23885225	6.33644645	6.2122111	6.09309405	12.45535325	15.68375645	2.0824864	15.75084105	14.4913293	1.51868055	3.77627
Belarus	BLR	112	BLR112																							115	95	74.4	61.75	73.35	93.8	100.6706176	100.3007976	81.051333	77.53442345	81.99957475	93.11377985	110.0855199	123.2603157	147.7027321	176.4548815	202.9138071	208.9501248	242.9323802	226.7004125
Belgium	BEL	56	BEL056	270.6593966	279.8939752	296.3332516	291.9840556	321.6328856	304.3020796	317.2033444	291.8930304	274.9604832	273.221032	257.1816744	214.2434528	208.3451744	182.0661184	180.7570856	180.2089072	191.3960944	189.8539864	233.39764	244.0851568	261.367552	262.6632896	268.4233568	279.4690848	327.777904	291.7539968	278.6101856	305.0111072	233.4757312	272.5804157	306.088407	302.2961266	254.0651228	258.6284794	294.0461397	296.3077886	315.4205704	296.9105781	309.0668422	266.2968027	295.936268	341.0990013
Belize	BLZ	84	BLZ084						0.58221005	0.76191985	0.80100295	0.6634766	0.71821845	0.668080889	0.715417804	0.762754718	0.910349007	1.021558946	1.080573986	1.229443425	1.634357864	1.862799704	2.816801643	2.704016382	3.169763321	3.635510261	4.0930992	4.84371485	3.64808384	3.12646268	2.92779757	2.67268201	3.121397	4.7095415	9.77741657	9.51137174	7.73129951	4.50569233	3.9708402	4.1810754	4.28107775	11.1488562	5.120758467	3.606635783	8.1039188
Benin	BEN	204	BEN204	4.12090445	2.31501	2.57748185	2.88383675	0	0	0	0	0	0	14.3465929	14.8868936	15.7451943	16.26244386	17.50669342	18.75094298	19.99519254	21.2394421	17.41719166	21.18244122	24.92669078	27.17094034	30.9151899	40.5617766	29.9795132	44.442864	32.4858416	37.1207728	23.41220648	31.34490415	41.3236892	65.9572228	51.47907465	55.81700715	43.5141049	50.0679878	99.75488615	95.93241458	95.34012217	100.3743819	103.6432378	114.8731707
Bermuda	BMU	60	BMU060		0.0016195	0.00164405	0.0049339	0.4576804	0.50864175	0.4914917	0.5588755	0.8860328	0.3993136	0	0	0	1.4105	7.8488	2.89785	3.737429067	4.577008133	5.4165872	4.1191186	2.82165	1.71955	4.24785	2.9850938	1.4925469	0	0	0	0.00021835	0.0004367	0.00065505	0.0008734	0.00109175	0.0013101	0.00152845	0.0017468	0.00196515	0.0080302	0.025834125	0.04363805	0.039598925	0.0355598
Bhutan	BTN	64	BTN064																						5.8	5.8	0.0784886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99945645
Bolivia	BOL	68	BOL068	6.3525498	6.5519874	7.6392448	5.54008985	9.7433824	13.4716192	12.4469184	14.3738855	14.40777095	14.9225846	15.3547407	18.95082078	16.38712045	16.79695	14.56744286	19.32517156	15.36500647	20.62337778	22.95558724	25.86624414	28.3946536	30.0453846	30.50479177	35.23829568	40.88019895	47.3598522	50.46275032	55.23482723	62.04007855	63.10310095	56.34736723	52.9757122	54.637368	61.3140562	68.2088767	80.966459	88.83846795	96.40305425	104.6349371	124.89144	129.287169	147.559872
Bosnia and Herzegovina	BIH	70	BIH070																							7.5	7.5	7.5	11.3	7.5	10	15	15	31.4	35.3	45.625	74.2946124	78.01783365	78.66421155	85.27867035	92.14643395	94.00967125	70.915235	61.8396466	62.4364178
