alphanumiso;CCC_Code;material_id;year;unit;value;source
ABW533;A.3.2.3;M.lim;2011;t;72302.21695999999;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.2.3;M.lim;2012;t;72302.21695999999;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.2.3;M.lim;2013;t;72302.21695999999;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.2.3;M.lim;2014;t;72302.21695999999;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.2.3;M.lim;2015;t;72302.21695999999;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.2.3;M.lim;2016;t;72302.21695999999;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.2.3;M.lim;2017;t;72302.21695999999;estimation based on consumption of cement
ABW533;A.3.2.3;M.lim;2018;t;79669.68736000001;estimation based on consumption of cement
ABW533;A.3.6;M.gya;2011;t;2972.953;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.6;M.gya;2012;t;2972.953;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.6;M.gya;2013;t;2972.953;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.6;M.gya;2014;t;2972.953;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.6;M.gya;2015;t;2972.953;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.6;M.gya;2016;t;2972.953;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.6;M.gya;2017;t;2972.953;estimation based on consumption of cement
ABW533;A.3.6;M.gya;2018;t;3275.8917500000007;estimation based on consumption of cement
ABW533;A.3.7.1;M.coc;2011;t;18075.554239999998;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.7.1;M.coc;2012;t;18075.554239999998;estimation based on consumption of cement and production of bricks and tiles
ABW533;A.3.7.1;M.coc;2013;t;18075.554239999998;estimation based on consumption of cement and production of bricks and tiles
ABW533;A.3.7.1;M.coc;2014;t;18075.554239999998;estimation based on consumption of cement and production of bricks and tiles
ABW533;A.3.7.1;M.coc;2015;t;18075.554239999998;estimation based on consumption of cement and production of bricks and tiles
ABW533;A.3.7.1;M.coc;2016;t;18075.554239999998;estimation based on consumption of cement and production of bricks and tiles
ABW533;A.3.7.1;M.coc;2017;t;18075.554239999998;estimation based on consumption of cement and production of bricks and tiles
ABW533;A.3.7.1;M.coc;2018;t;19917.421840000003;estimation based on consumption of cement and production of bricks and tiles
ABW533;A.3.8.2;M.sag;2011;t;312754.6556;own estimation - gap filled by values of preceding or consecutive years
ABW533;A.3.8.2;M.sag;2012;t;312754.6556;estimation based on consumption of cement and bitumen
ABW533;A.3.8.2;M.sag;2013;t;312754.6556;estimation based on consumption of cement and bitumen
ABW533;A.3.8.2;M.sag;2014;t;312754.6556;estimation based on consumption of cement and bitumen
ABW533;A.3.8.2;M.sag;2015;t;312754.6556;estimation based on consumption of cement and bitumen
ABW533;A.3.8.2;M.sag;2016;t;312754.6556;estimation based on consumption of cement and bitumen
ABW533;A.3.8.2;M.sag;2017;t;195364.95659999998;estimation based on consumption of cement and bitumen
ABW533;A.3.8.2;M.sag;2018;t;253818.62410000002;estimation based on consumption of cement and bitumen
AFG004;A.2.2.Cr;O.Cr;2016;t;4545;bgs
AFG004;A.2.2.Cr;O.Cr;2017;t;4500;bgs
AFG004;A.2.2.Cr;O.Cr;2018;t;4500;bgs
AFG004;A.2.2.Cr;O.Cr;2019;t;4500;bgs
AFG004;A.2.2.Cr;O.Cr;2020;t;4500;bgs
AFG004;A.3.1;M.mat;2011;t;31036;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.1;M.mat;2012;t;31036;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.1;M.mat;2013;t;31036;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.1;M.mat;2014;t;31036;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.1;M.mat;2015;t;31036;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.1;M.mat;2016;t;31036;usgs
AFG004;A.3.1;M.mat;2017;t;29100;usgs
AFG004;A.3.1;M.mat;2018;t;28300;usgs
AFG004;A.3.2.3;M.lim;2011;t;86092.8;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.2.3;M.lim;2012;t;86092.8;estimation based on consumption of cement
AFG004;A.3.2.3;M.lim;2013;t;105792;estimation based on consumption of cement
AFG004;A.3.2.3;M.lim;2014;t;85241.59999999999;estimation based on consumption of cement
AFG004;A.3.2.3;M.lim;2015;t;122572.8;estimation based on consumption of cement
AFG004;A.3.2.3;M.lim;2016;t;226540.8;estimation based on consumption of cement
AFG004;A.3.2.3;M.lim;2017;t;218880;estimation based on consumption of cement
AFG004;A.3.2.3;M.lim;2018;t;133760;estimation based on consumption of cement
AFG004;A.3.4.2;M.bar;2011;t;500;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.4.2;M.bar;2012;t;500;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.4.2;M.bar;2013;t;500;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.4.2;M.bar;2014;t;500;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.4.2;M.bar;2015;t;500;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.4.2;M.bar;2016;t;500;bgs
AFG004;A.3.4.2;M.bar;2017;t;500;bgs
AFG004;A.3.4.2;M.bar;2018;t;500;bgs
AFG004;A.3.4.2;M.bar;2019;t;500;bgs
AFG004;A.3.4.2;M.bar;2020;t;500;bgs
AFG004;A.3.4.2;M.flu;2011;t;7624;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.4.2;M.flu;2012;t;7624;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.4.2;M.flu;2013;t;7624;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.4.2;M.flu;2014;t;7624;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.4.2;M.flu;2015;t;7624;own estimation - gap filled by values of preceding or consecutive years
AFG004;A.3.4.2;M.flu;2016;t;7624;wmd
AFG004;A.3.4.2;M.flu;2017;t;7522;wmd
AFG004;A.3.4.2;M.flu;2018;t;10000;wmd
