alphanumiso;CCC_Code;year;unit;value
ABW533;A.3.2.3;1988;t;39149.12
ABW533;A.3.2.3;1989;t;64248.576
ABW533;A.3.2.3;1990;t;57990.504960000006
ABW533;A.3.2.3;1991;t;51548.29261
ABW533;A.3.2.3;1992;t;52213.47933
ABW533;A.3.2.3;1993;t;52878.66606
ABW533;A.3.2.3;1994;t;53543.85278
ABW533;A.3.2.3;1995;t;54209.039500000006
ABW533;A.3.2.3;1996;t;54874.22623
ABW533;A.3.2.3;1997;t;55539.41295
ABW533;A.3.2.3;1998;t;56204.59967
ABW533;A.3.2.3;1999;t;56869.786400000005
ABW533;A.3.2.3;2000;t;57534.973119999995
ABW533;A.3.2.3;2001;t;58200.15984
ABW533;A.3.2.3;2002;t;58865.34657
ABW533;A.3.2.3;2003;t;59530.53329
ABW533;A.3.2.3;2004;t;60195.720010000005
ABW533;A.3.2.3;2005;t;60860.90674
ABW533;A.3.2.3;2006;t;61526.09346
ABW533;A.3.2.3;2007;t;62191.28018
ABW533;A.3.2.3;2008;t;62856.46691
ABW533;A.3.2.3;2009;t;63521.53082
ABW533;A.3.2.3;2010;t;45109.2151
ABW533;A.3.2.3;2011;t;63520.324539999994
ABW533;A.3.2.3;2012;t;59495.97983999999
ABW533;A.3.2.3;2013;t;59084.226431999996
ABW533;A.3.2.3;2014;t;54666.73312
ABW533;A.3.2.3;2015;t;59926.988608
ABW533;A.3.2.3;2016;t;72302.21695999999
ABW533;A.3.2.3;2017;t;72302.21695999999
ABW533;A.3.2.3;2018;t;79669.68736000001
ABW533;A.3.6;1988;t;1609.75
ABW533;A.3.6;1989;t;2641.7999999999997
ABW533;A.3.6;1990;t;2384.478
ABW533;A.3.6;1991;t;2119.5843999999997
ABW533;A.3.6;1992;t;2146.935828
ABW533;A.3.6;1993;t;2174.287256
ABW533;A.3.6;1994;t;2201.638683
ABW533;A.3.6;1995;t;2228.990111
ABW533;A.3.6;1996;t;2256.341539
ABW533;A.3.6;1997;t;2283.692967
ABW533;A.3.6;1998;t;2311.044394
ABW533;A.3.6;1999;t;2338.395822
ABW533;A.3.6;2000;t;2365.74725
ABW533;A.3.6;2001;t;2393.098678
ABW533;A.3.6;2002;t;2420.4501060000002
ABW533;A.3.6;2003;t;2447.801533
ABW533;A.3.6;2004;t;2475.1529610000002
ABW533;A.3.6;2005;t;2502.5043889999997
ABW533;A.3.6;2006;t;2529.855817
ABW533;A.3.6;2007;t;2557.207244
ABW533;A.3.6;2008;t;2584.558672
